Designation,h (mm),b (mm),tw (mm),tf (mm),r (mm),Area (cm2),Mass (kg/m),Iy (cm4),Iz (cm4),"Wel,y (cm3)","Wel,z (cm3)","Wpl,y (cm3)","Wpl,z (cm3)",iy (cm),iz (cm),Series
IPE 80,80,46,3.8,5.2,5,7.64,6.0,80.1,8.49,20.0,3.69,23.2,5.82,3.24,1.05,IPE
IPE 100,100,55,4.1,5.7,7,10.3,8.1,171.0,15.9,34.2,5.79,39.4,9.15,4.07,1.24,IPE
IPE 120,120,64,4.4,6.3,7,13.2,10.4,318.0,27.7,53.0,8.65,60.7,13.6,4.9,1.45,IPE
IPE 140,140,73,4.7,6.9,7,16.4,12.9,541.0,44.9,77.3,12.3,88.3,19.2,5.74,1.65,IPE
IPE 160,160,82,5.0,7.4,9,20.1,15.8,869.0,68.3,109.0,16.7,124.0,26.1,6.58,1.84,IPE
IPE 180,180,91,5.3,8.0,9,23.9,18.8,1317.0,101.0,146.0,22.2,166.0,34.6,7.42,2.05,IPE
IPE 200,200,100,5.6,8.5,12,28.5,22.4,1943.0,142.0,194.0,28.5,221.0,44.6,8.26,2.24,IPE
IPE 220,220,110,5.9,9.2,12,33.4,26.2,2772.0,205.0,252.0,37.3,285.0,58.1,9.11,2.48,IPE
IPE 240,240,120,6.2,9.8,15,39.1,30.7,3892.0,284.0,324.0,47.3,367.0,73.9,9.97,2.69,IPE
IPE 270,270,135,6.6,10.2,15,45.9,36.1,5790.0,420.0,429.0,62.2,484.0,97.0,11.2,3.02,IPE
IPE 300,300,150,7.1,10.7,15,53.8,42.2,8356.0,604.0,557.0,80.5,628.0,125.0,12.5,3.35,IPE
IPE 330,330,160,7.5,11.5,18,62.6,49.1,11770.0,788.0,713.0,98.5,804.0,154.0,13.7,3.55,IPE
IPE 360,360,170,8.0,12.7,18,72.7,57.1,16270.0,1043.0,904.0,123.0,1019.0,191.0,15.0,3.79,IPE
IPE 400,400,180,8.6,13.5,21,84.5,66.3,23130.0,1318.0,1156.0,146.0,1307.0,229.0,16.5,3.95,IPE
IPE 450,450,190,9.4,14.6,21,98.8,77.6,33740.0,1676.0,1500.0,176.0,1702.0,276.0,18.5,4.12,IPE
IPE 500,500,200,10.2,16.0,21,116.0,90.7,48200.0,2142.0,1928.0,214.0,2194.0,336.0,20.4,4.31,IPE
HEA 100,96,100,5.0,8.0,12,21.2,16.7,349.0,134.0,72.8,26.8,83.0,41.1,4.06,2.51,HEA
HEA 120,114,120,5.0,8.0,12,25.3,19.9,606.0,231.0,106.0,38.5,120.0,58.8,4.89,3.02,HEA
HEA 140,133,140,5.5,8.5,12,31.4,24.7,1033.0,389.0,155.0,55.6,174.0,84.8,5.73,3.52,HEA
HEA 160,152,160,6.0,9.0,15,38.8,30.4,1673.0,616.0,220.0,76.9,245.0,118.0,6.57,3.98,HEA
HEA 180,171,180,6.0,9.5,15,45.3,35.5,2510.0,925.0,294.0,103.0,325.0,156.0,7.45,4.52,HEA
HEA 200,190,200,6.5,10.0,18,53.8,42.3,3692.0,1336.0,389.0,134.0,430.0,204.0,8.28,4.98,HEA
HEA 220,210,220,7.0,11.0,18,64.3,50.5,5410.0,1955.0,515.0,178.0,568.0,271.0,9.17,5.51,HEA
HEA 240,230,240,7.5,12.0,21,76.8,60.3,7763.0,2769.0,675.0,231.0,745.0,352.0,10.1,6.0,HEA
HEA 260,250,260,7.5,12.5,24,86.8,68.2,10450.0,3668.0,836.0,282.0,920.0,430.0,11.0,6.5,HEA
HEA 280,270,280,8.0,13.0,24,97.3,76.4,13670.0,4763.0,1010.0,340.0,1112.0,518.0,11.9,7.0,HEA
HEA 300,290,300,8.5,14.0,27,112.5,88.3,18260.0,6310.0,1260.0,421.0,1383.0,641.0,12.7,7.49,HEA
HEB 100,100,100,6.0,10.0,12,26.0,20.4,450.0,167.0,89.9,33.5,104.0,51.4,4.16,2.53,HEB
HEB 120,120,120,6.5,11.0,12,34.0,26.7,864.0,318.0,144.0,52.9,165.0,81.0,5.04,3.06,HEB
HEB 140,140,140,7.0,12.0,12,43.0,33.7,1509.0,550.0,216.0,78.5,245.0,120.0,5.93,3.58,HEB
HEB 160,160,160,8.0,13.0,15,54.3,42.6,2492.0,882.0,311.0,110.0,354.0,169.0,6.78,4.03,HEB
HEB 180,180,180,8.5,14.0,15,65.3,51.2,3831.0,1363.0,426.0,151.0,481.0,231.0,7.66,4.57,HEB
HEB 200,200,200,9.0,15.0,18,78.1,61.3,5696.0,2003.0,570.0,200.0,643.0,306.0,8.54,5.07,HEB
HEB 220,220,220,9.5,16.0,18,91.0,71.5,8091.0,2843.0,736.0,258.0,827.0,394.0,9.43,5.59,HEB
HEB 240,240,240,10.0,17.0,21,106.0,83.2,11260.0,3923.0,938.0,327.0,1053.0,498.0,10.3,6.08,HEB
HEB 260,260,260,10.0,17.5,24,118.0,93.0,14920.0,5135.0,1150.0,395.0,1283.0,602.0,11.2,6.58,HEB
HEB 280,280,280,10.5,18.0,24,131.0,103.0,19270.0,6595.0,1380.0,471.0,1534.0,718.0,12.1,7.09,HEB
HEB 300,300,300,11.0,19.0,27,149.0,117.0,25170.0,8563.0,1680.0,571.0,1869.0,870.0,13.0,7.58,HEB
